gabung,bias,pro_anti
cnn prabowo subianto temu jokowi istana sore,0,0
cnn klaim pkb jakarta warga komplain tinggal anies,0,0
cnn dpr selingkuh hakim bal kecewa cuek ma,0,1
cnn gibran maaf bagi buku sampul jan ethes,0,0
cnn habiburokhman marah sekjen mk rapat komisi iii dpr,0,0
cnn pkb dki usung anies maju pilgub jakarta kaesang duet,0,0
cnn muhammadiyah sorot revisi uu tni polri ingat buruk uu kpk,0,0
cnn komisi dpr kemenhan gelar rapat tutup prabowo absen,0,1
cnn majelis rakyat papua mekar kabupaten jokowi,0,0
cnn pdip dukung revisi uu tni usia pensiun,0,1
cnn dpr heran komnas ham rp renovasi banding polsek rp,0,0
cnn ramai isu dwi kewarganegaraan yasonna tiru skema oci india,0,1
cnn habib gerindra sentil mahfud vina komentar,0,0
cnn komnas ham anggar rp rp kawal ikn,0,0
cnn pdip usung anies pilgub jakarta,0,0
cnn pdip kalkulasi kawin politik usung anies pilgub jakarta,0,1
cnn anggota dpr fraksi pdip usul bentuk mahkamah pancasila,0,1
cnn mahfud md investor asing masuk ikn cari mas bahlil,0,1
cnn habib luthfi hadap jokowi istana urus parpol,0,1
cnn gerindra respons kader komisaris bumn bagi,0,0
cnn prabowo subianto temu jokowi istana sore,0,0
cnn klaim pkb jakarta warga komplain tinggal anies,0,1
cnn dpr selingkuh hakim bal kecewa cuek ma,0,0
cnn gibran maaf bagi buku sampul jan ethes,0,1
cnn habiburokhman marah sekjen mk rapat komisi iii dpr,0,1
kompas jokowi seru rang judi online bentuk satgas,0,0
kompas megawati buku pdi sita sidik kpk isi,0,0
kompas manuver pkb pilkada jakarta dukung ahok dukung anies,0,1
kompas gaspol ft sekar tandjung solo lepas gibran lepas bayang bayang akbar tandjung,0,0
kompas staf hasto tiru benta sidik kpk diam,0,0
kompas pkb dki buka peluang duet anies kaesang pilkada,1,0
kompas pkb dki usung anies rasyid baswedan pilkada jakarta,0,0
kompas ramai politikus komisaris bumn jabat gaji,0,0
kompas pks buka pintu koalisi pdi pilkada jakarta,0,0
kompas bicara konflik perang oslo forum menlu retno kurang tambah,0,0
kompas orang orang jokowi prabowo jabat strategis bumn,0,0
kompas hasto kristiyanto harun mas gulir politik kait,0,1
kompas sidik sita ponsel hasto pdi ketua kpk upaya cari harun mas,0,0
kompas jokowi alas upacara agustus gelar jakarta ikn,0,0
kompas prabowo gibran temu mata gerindra rutin kemarin foto unggah,1,0
kompas upacara agustus jokowi prabowo ikn ma ruf amin gibran jakarta,0,1
kompas jokowi senyum larang kaesang maju pilkada jakarta,1,1
kompas momen perindo rekomendasi eri cahyadi maju pilkada surabaya,0,1
kompas staf geledah ponsel sita acara hasto aju praperadilan pn jaksel,0,1
kompas usung perindo eri cahyadi optimis menang pilkada surabaya,0,0
kompas pdi mas hasto korban bully harun mas tangkap kpk,0,0
kompas full eri cahyadi resmi dukung perindo pr tuntas,0,1
kompas full kuasa hukum hasto duga jahat hukum sidik kpk,0,0
kompas kuasa hukum syl singgung khofifah sidang,1,1
kompas pdi prediksi rela dukung anies kalah kaesang,0,1
suara politis golkar jaro ade sulhajji jompa peluang kuat dapat tiket pkb,1,0
suara waspada politik uang pilkada ppu serta diskualifikasi penjara,1,0
suara rekam jejak tsamara amany eks kader psi komisaris ptpn,0,0
suara mahasiswa klaim bukti kuat politik uang bawaslu makassar lapor bukti,0,1
suara hasto panggil kpk harun mas pukat ugm agenda politik,1,0
suara seno aji rudy mas ud kuat komunikasi politik jelang pilgub kaltim,1,0
suara prabowo dukung khofifah emil pilgub jatim warganet politik balas budi,1,1
suara duo host duga pro dinasti politik petinggi total politik,1,1
suara total politik sorot momen rocky gerung walk out viral,1,0
suara lanjut safari politik pimpin mpr ri kunjung kantor dpp pkb,1,1
suara emosi human rights tameng dinasti politik pandji pragiwaksono semprot host total politik,1,0
suara santai mahal gin harga sepatu host total politik gedung dpr,1,0
suara wacana pilpres kembali mpr gegara marak politik uang amat konyol,1,1
suara warganet sorot attitude host total politik desan anies jahat banget,0,0
suara pamer kopi tubruk anies ikut serempet asi value human right,0,0
suara kontroversi pandji pragiwaksono viral bicara dinasti politik,1,0
suara momen rocky gerung tinggal acara total politik duo host langsung laba,1,0
suara survei baru warga sumbar pilih gerindra alas,1,0
suara beda didik pandji pragiwaksono vs host total politik ribut dinasti politik,1,0
suara detik detik pandji pragiwaksono semprot host total politik emosi human rights tameng dinasti politik,1,0
suara riwayat karier budi adiputro diskakmat pandji pragiwaksono dinasti politik,1,1
suara beda didik arie putra budi adiputro host total politik goreng gegara pro dinasti politik,1,0
suara asi value ala netizen nyindir dinasti politik motor ruang tamu,1,0
suara skakmat arie putra budi adiputro dinasti politik pandji pragiwaksono beneran ngomong gin,1,0
suara jilat bibir host total politik duga body shaming anies baswedan,1,1
